Unnamed: 0,text,link,content
588,Platinum ShopGain SuperCard,/rbl-bank-platinum-shopgain-supercard,The Bajaj Finserv RBL Bank Platinum ShopGain SuperCard is a truly unique credit card designed to reward every purchase you make using it Its reward program is excellent as it gives you 10000 reward points for spending Rs 15 lakh annually with an additional 5000 points redeemable on every additional lakh You get 2x reward points on all online purchases except for those made on education insurance utilities (including Bills2Pay) and Wallet loadBesides this it is a smart choice as it has other benefits too For instance you can have the annual fee waived off by spending Rs 15 lakh and above annually It also has the 11 free offer on movie tickets booked on BookMyShow and offers complimentary airport lounge access 4 times a year Get complimentary health benefits up to Rs 14000 on the Bajaj Finserv Health app with SuperCard All the above charges are subject to change under various marketing programs The cardmember will be informed about these changes ^ The surcharge is applicable on minimum fuel transactions of Rs 500 and maximum of Rs 4000 Maximum surcharge waiver is Rs 100 for Platinum SuperCards Rs 200 for World Plus SuperCard and Rs 150 for all other World SuperCards * Refer to IRCTC website for details ** Transactions at merchant establishments that are registered overseas even if the merchant is located in India attract a cross border chargeFor assistance reach us on the RBL Bank Credit Card Customer Care Number 022-7119 0900 (if you are using your mobile phone prefix your city’s STD code to the number) You can also e-mail us at supercardservice@rblbankcomWith the power of 4 cards in 1 it can fund daily/monthly credit needs address urgent cash needs and convert purchases into easy EMIsFeatures like robust security emergency loan on cash limit and interest-free ATM withdrawals for up to 50 days set it apart from the restCash withdrawals are inexpensive as you pay no interest for up to 50 days You only pay a flat 25% processing feeWith a SuperCard you can take an emergency loan against the cash limit and repay over 3 months at a nominal rateThe SuperCard comes with a feature called ‘InControl’ to help you monitor the usage of your card through the mobile appWith the Bajaj Finserv RBL Bank SuperCard you can avail cashback discounts offers at Bajaj Finserv partner stores No Cost EMI financing* and much moreIf you have any queries call us at 022 71190900 or e-mail us at supercardservice@rblbankcom*Conditions apply Platinum Choice SuperCardGet your Digital Health EMI Network Card with 100% cashback Platinum Plus SuperCardWorld Prime SuperCard 
589,Platinum Advantage SuperCard,/rbl-bank-platinum-advantage-supercard,The Bajaj Finserv RBL Bank Platinum Advantage SuperCard is a credit card that complements most daily spends with ease Whether you are shopping buying movie tickets paying for cab or fuel it makes every transaction better For instance when you book movie tickets on BookMyShow you can avail a 20% discount (up to Rs 100) on movie tickets up to 15 times a yearMoreover for purchases over Rs 3000 you can convert the costs into easy EMIs Another notable perk is that you can use the reward points you have accumulated when making a down payment This feature is only available to you if you have at least 5000 reward points Get complimentary health benefits up to Rs 14000 on the Bajaj Finserv Health app with SuperCard All the above charges are subject to change under various marketing programs The card members will be informed about these changes ^ The surcharge is applicable on minimum fuel transactions of Rs 500 and maximum of Rs 4000 Maximum surcharge waiver is Rs 100 for Platinum SuperCards Rs 200 for WorldPlus SuperCard and Rs 150 for all other World SuperCards * Refer to IRCTC website for details ** Transactions at merchant establishments that are registered overseas even if the merchant is located in India attract a cross border chargeFor assistance reach us on the RBL Bank Credit Card Customer Care Number 022-7119 0900 (if you are using your mobile phone prefix your city’s STD code to the number) You can also e-mail us at supercardservice@rblbankcomThis SuperCard offers EMI facilities interest-free ATM withdrawals emergency advances and attractive deals The benefits of the card go beyond the usual credit card offering and hence it is known as a SuperCardAt most of the Bajaj Finserv partner stores you can avail easy EMIs and pay with reward points to make purchases easierA SuperCard is loaded with features that make it a 4 in 1 card You can avail a loan withdraw cash and convert purchases into EMIsThe ‘Buy Now Pay Later’ facility allows you to convert your purchases of Rs 3000 and above into easy EMIsThe SuperCard comes with a feature called ‘InControl’ to help you monitor the usage of your card through the mobile appIf you have any query call us at 022-7119 0900 or e-mail us at supercardservice@rblbankcomThere is no cash limit on this cardIt is calculated by adding new EMI debits for the month and previously unpaid EMI debits Know more by reading the terms document*Conditions apply Platinum Choice SuperCardGet your Digital Health EMI Network Card with 100% cashback Platinum Plus SuperCardWorld Prime SuperCard 
595,Product Information,/life-insurance,To know more in the meantime you can also call us on 0928 922 2406 • Premium Get the advantage of life cover at low cost • Payout options Choose from lump sum or monthly payout options on unfortunate death or maturity • Policy term Select your insurance policy term ranging from 5 to 30 years • Joint Life Coverage in single policy Include your spouse in your existing policy Supplementary income in case of loss of income due to accidental disability or illness • Critical illness Get lump-sum amount if diagnosed with critical illness • Additional benefits Additional sum insured in case of accidental death • Preferred Rates for Non-Smokers • Tax exemptions Tax exemption u/s 80C and 10(10D) of Indian Income Tax Act Premiums paid for the Critical Illness Benefit also qualifies for a deduction under Section 80D Disclaimer *Conditions apply This product is offered under the Group Insurance scheme wherein Bajaj Finance Limited is the Master policyholder The insurance coverage is provided by our partner Insurance Company Bajaj Finance Limited does not underwrite the risk IRDAI Corporate Agency Registration Number CA0101 The above mentioned benefits and premium amount are subject to various factors such as age of insured lifestyle habits health etc (if applicable) BFL does NOT hold any responsibility for the issuance quality serviceability maintenance and any claims post sale This product provides insurance coverage Purchase of this product is purely voluntary in nature BFL does not compel any of its customers to mandatorily purchase any third party products” All you need to know about personal loan from Bajaj Finserv
596,FAQs,/life-insurance-faqs, Yes a minor can be the nominee of a policy However he or she must have a legal guardian in the form of an appointee Disclaimer *Conditions apply This product is offered under the Group Insurance scheme wherein Bajaj Finance Limited is the Master policyholder The insurance coverage is provided by our partner Insurance Company Bajaj Finance Limited does not underwrite the risk IRDAI Corporate Agency Registration Number CA0101 The above mentioned benefits and premium amount are subject to various factors such as age of insured lifestyle habits health etc (if applicable) BFL does NOT hold any responsibility for the issuance quality serviceability maintenance and any claims post sale This product provides insurance coverage Purchase of this product is purely voluntary in nature BFL does not compel any of its customers to mandatorily purchase any third party products” Yes You as the life insurance policy holder can change your nomination any time before the date of maturity of the policyInsurance aims to provide financial protection to an individual one’s family and assets from unfortunate eventualities such as death accident illness etc or loss of assets A classic insurance policy ie a term plan provides financial assistance to your family in the unfortunate event of your death In addition to that modern day insurance policies have evolved to help you to build your corpus of wealth plan for retirement protect your house and personal belongings reimburse medical expenses hospitals bills etcLife insurance is a concept that aims to provide financial protection to the family members of the insured individual in case of an unfortunate eventuality such as the demise of the insured individualDisclaimer *Conditions apply This product is offered under the Group Insurance scheme wherein Bajaj Finance Limited is the Master policyholder The insurance coverage is provided by our partner Insurance Company Bajaj Finance Limited does not underwrite the risk IRDAI Corporate Agency Registration Number CA0101 The above mentioned benefits and premium amount are subject to various factors such as age of insured lifestyle habits health etc (if applicable) BFL does NOT hold any responsibility for the issuance quality serviceability maintenance and any claims post sale This product provides insurance coverage Purchase of this product is purely voluntary in nature BFL does not compel any of its customers to mandatorily purchase any third party products” All you need to know about personal loan from Bajaj Finserv
597,Product Information,/life-insurance-protection-plans, Financial security quickly and with easeProtection Plan offerings are a simple way to financially secure the future of your loved ones in case of any uncertainty Get the power to support your family in case of your death disability or a terminal illness With Protection Plan offerings you need never worry about the Future Bajaj Finance Limited (‘BFL’) is a registered corporate agent of third party insurance products of Bajaj Allianz Life Insurance Company Limited HDFC Life Insurance Company Limited Future Generali Life Insurance Company Limited Bajaj Allianz General Insurance Company Limited Tata AIG General Insurance Company Limited Oriental Insurance Company Limited Max Bupa Health Insurance Company LimitedAditya Birla Health Insurance Company Limited and Manipal Cigna Health Insurance Company Limited under the IRDAI composite registration number CA0101Please note that BFL does not underwrite the risk or act as an insurer Your purchase of an insurance product is purely on a voluntary basis after your exercise of an independent due diligence on the suitability viability of any insurance product Any decision to purchase insurance product is solely at your own risk and responsibility and BFL shall not be liable for any loss or damage that any person may suffer whether directly or indirectly This product provides insurance coverage Please refer insurer\s website for Policy Wordings For more details on risk factors terms and conditions and exclusions please read the product sales brochure carefully before concluding a sale Tax benefits applicable if any will be as per the prevailing tax laws Tax laws are subject to change BFL does NOT provide Tax/Investment advisory services Please consult your advisors before proceeding to purchase an insurance product” Disclaimer *Conditions apply This product is offered under the Group Insurance scheme wherein Bajaj Finance Limited is the Master policyholder The insurance coverage is provided by our partner Insurance Company Bajaj Finance Limited does not underwrite the risk IRDAI Corporate Agency Registration Number CA0101 The above mentioned benefits and premium amount are subject to various factors such as age of insured lifestyle habits health etc (if applicable) BFL does NOT hold any responsibility for the issuance quality serviceability maintenance and any claims post sale This product provides insurance coverage Purchase of this product is purely voluntary in nature BFL does not compel any of its customers to mandatorily purchase any third party products”
598,Third Party Bike Insurance,/third-party-two-wheeler-insurance,Third-party two-wheeler insurance is an instant and simple way to protect yourself against any third-party liabilities resulting from an accident or mishap Buying online Third-party bike insurance is an effortless process requiring minimum documents Third-party bike insurance will save your time and money protecting you from stress in case of any unfortunate event Here are some of the key features and benefits of a third-party bike insurance policyHere are the exclusions under third-party two-wheeler insurance • Any damage or loss caused to two-wheelers due to speeding • Loss or damage caused due to irresponsible behaviour like losing keys or driving under the influence of alcohol or drugs • Any damage or loss caused to two-wheelers or a third-party liability arising outside the stated geographical area • Loss or damage caused to two-wheelers by an unauthorized rider or an underage rider • Mechanical or electrical failure • If the two-wheeler is used for other than stated purposes Like using the two-wheeler for commercial purposes without informing the insurer • Loss damage liability arising due to war invasion terrorist attacks riots or nuclear weaponsQuick and easy purchase\xa0Lengthy and tedious policy processes are a thing of the past Now get your preferred insurance online with minimum documentation by visiting the Bajaj Finance website Financial assistance and legal coverage\xa0 Along with protecting you in case of injury/death or property damage of a third party third-party bike insurance also provides cover for any legal and financial hassles arising as a result of third-party injury or damage Cost-effective insurance policy\xa0 Third-Party Bike insurance provides maximum benefit at minimum cost All third-party insurance premiums are regulated by IRDAI making the premium rates attractive and affordable Waives off unwanted penalty\xa0 The Motor Vehicle Act specifies that every two-wheeler must be insured upon purchase The minimum requirement is third-party insurance It saves you from penaltyThird-party two-wheeler Insurance is the simplest way to safeguard against any liabilities arising from third party involvement In the event of an accident involving the policyholders two-wheeler and a third party all damages to the third party are covered by the insurance policy Third-party bike insurance or third-party\xa0two-wheeler insurance\xa0cover is easy to obtain and affordableThe zero-depreciation add on cover is available only in the Comprehensive Third-party Bike Insurance PolicyThe claim process of third-party insurance for bikes is simple and easy Here are the claim procedures for both policyholder and third personHere are the documents and details required for buying third-party bike insurance onlineThird-party bike insurance has only personal accident cover as an add on
599,Add on Cover,/two-wheeler-insurance-add-on-covers,\xa0 Disclaimer *Conditions apply This product is offered under the Group Insurance scheme wherein Bajaj Finance Limited is the Master policyholder The insurance coverage is provided by our partner Insurance Company Bajaj Finance Limited does not underwrite the risk IRDAI Corporate Agency Registration Number CA0101 The above mentioned benefits and premium amount are subject to various factors such as age of insured lifestyle habits health etc (if applicable) BFL does NOT hold any responsibility for the issuance quality serviceability maintenance and any claims post sale This product provides insurance coverage Purchase of this product is purely voluntary in nature BFL does not compel any of its customers to mandatorily purchase any third party products” All you need to know about personal loan from Bajaj Finserv
600,FAQs,/two-wheeler-insurance-frequently-asked-questions, There are two types of two-wheeler insurance comprehensive two-wheeler insurance and third party two wheeler insurance Having a third-party two-wheeler insurance is mandatory by law However a comprehensive two-wheeler insurance is more recommendedDisclaimer *Conditions apply This product is offered under the Group Insurance scheme wherein Bajaj Finance Limited is the Master policyholder The insurance coverage is provided by our partner Insurance Company Bajaj Finance Limited does not underwrite the risk IRDAI Corporate Agency Registration Number CA0101 The above mentioned benefits and premium amount are subject to various factors such as age of insured lifestyle habits health etc (if applicable) BFL does NOT hold any responsibility for the issuance quality serviceability maintenance and any claims post sale This product provides insurance coverage Purchase of this product is purely voluntary in nature BFL does not compel any of its customers to mandatorily purchase any third party productsDamage or loss to the insured two-wheeler financial liability to third-party and accident cover for the owner/rider is covered under a comprehensive two-wheeler insurance policy Renewing bike insurance is very easy nowadays You will be notified way in advance about your policy expiry date You can simply renew your bike insurance online by visiting the insurer’s website and paying the premium If you wish to renew it offlineyou can visit a branch or call the customer care teamPaying for bike insurance takes a few minutes You can pay your premium online via net banking debit card credit card or even a mobile wallet The premium for two-wheeler insurance may vary for each policyholder There are a few factors that define the premium amount like bike model and make year of manufacture engine capacity geographic location the age of bike owner anti-theft device installation and voluntarily deductible No Claim Bonus or NCB is given by the insurance company if no claims are made during the policy term You can find your bike insurance policy number on the Certificate of Insurance that you receive while buying the policy You also receive regular correspondence from your insurer via emails letters which has your bike policy number If you have lost your bike insurance documents you can file an FIR and apply for a duplicate bike insurance policy document Yes a new two-wheeler can be registered in your current two-wheeler policy by replacing the old one Yes a two-wheeler insurance policy can be cancelled during the policy term But you will have to submit the supporting documents to prove you have bought another two-wheeler insurance policy or your two-wheeler’s registration has been cancelled by the RTO Yes if you buy a two-wheeler insurance online inspection is not required
601,Product Information,/life-insurance-investment-plans, Maximum benefits at the lowest costGet your money to work as hard as you do to generate future gains for you and your family With Investment Plan offerings you get the power to choose from a range of investment methods and funds ensuring that you generate optimum profit from your savings Disclaimer *Conditions apply This product is offered under the Group Insurance scheme wherein Bajaj Finance Limited is the Master policyholder The insurance coverage is provided by our partner Insurance Company Bajaj Finance Limited does not underwrite the risk IRDAI Corporate Agency Registration Number CA0101 The above mentioned benefits and premium amount are subject to various factors such as age of insured lifestyle habits health etc (if applicable) BFL does NOT hold any responsibility for the issuance quality serviceability maintenance and any claims post sale This product provides insurance coverage Purchase of this product is purely voluntary in nature BFL does not compel any of its customers to mandatorily purchase any third party products”  All you need to know about personal loan from Bajaj Finserv
602,Product Information,/life-insurance-retirement-pension-plans, Regular income lifelong Get assured protection with a regular income until your 100th birthday With Bajaj Finserv’s Retirement Plan offerings you never have to worry about money for yourself or your family even after you retireDisclaimer *Conditions apply This product is offered under the Group Insurance scheme wherein Bajaj Finance Limited is the Master policyholder The insurance coverage is provided by our partner Insurance Company Bajaj Finance Limited does not underwrite the risk IRDAI Corporate Agency Registration Number CA0101 The above mentioned benefits and premium amount are subject to various factors such as age of insured lifestyle habits health etc (if applicable) BFL does NOT hold any responsibility for the issuance quality serviceability maintenance and any claims post sale This product provides insurance coverage Purchase of this product is purely voluntary in nature BFL does not compel any of its customers to mandatorily purchase any third party products” All you need to know about personal loan from Bajaj Finserv
603,Wallet Care,/wallet-protect-card-protection-insurance-plan,Losing your wallet can be very stressful An incident as such can expose you to the risk of debit/credit card fraud or leave you stranded without cash while you are travelling Moreover important identity cards like your PAN or Aadhaar could be at risk of being misused A Wallet Care plan offered by Bajaj Finserv could be very helpful in such emergency situations providing you with the necessary support at the time It covers you financially in case of loss or theft of wallet or any fraudulent transaction done using your payment cards Offering adequate coverage at a nominal fee this Wallet Care protection plan allows you to block all your payment cards with just one phone call You can also replace your PAN card free-of-cost as well as avail emergency travel and hotel assistance if you are stranded while on a holidayAll these benefits offered under this Wallet Care protection plan ensures you don’t have to suffer any inconvenience and your life continues hassle-freeWallet Care is a perfect contingency plan for someone who has lost his/her wallet It saves one from a lot of panic and unnecessary troublesI could block all my lost debit and credit cards with a single phone call using the 24X7 card blocking facility offered under Wallet Care I also received assistance in getting my lost PAN Card renewed Losing a wallet can trigger immense panic Wallet Care could be one of the most effective ways to mitigate the associated riskWallet Care offers significant protection against misuse of your lost or stolen cards It’s a must have contingency planIn unfortunate situations when you suddenly find out that you cannot find your wallet it is always a stressful race to swiftly get all your cards stopped\xa0Wallet Care card protection plan\xa0enables you to make just a single call to the customer service team They will reach out to your card issuers and your cards will be cancelled in a few minutes irrespective of your locationThe wallet care card protection plan membership will remain active for a year from the set-up date of the membership planWhen you find out that you have lost your card you should immediately give a call on our 24/7 helpline number (1800-419-4000) or call 6000-4000 (city STD code to be prefixed) The card issuers will be contacted instantly by us for cancellationRegistering details of your crucial documents and card with us ensures that you will get fast assistance in emergency situationsHere’s a look at the extensive benefits that you get in this wallet care card protection planYou can choose between these two options for getting your card and document details registeredMail The completed form for registration in the welcome pack can be mailed to us at this addressCPP Assistance Services Pvt Ltd PO Box No 826 Kalkaji Post Office New Delhi110019Phone You can call at the following numbers Toll-Free1800-419-4000 6000-4000 (city STD code to be prefixed)Your welcome pack will contain all your wallet care card protection plan membership details includingIn case you find out that these vital items have gone missing you should call the 24/7 helpline number (1800-419-4000) or call 6000-4000 (city STD code to be prefixed) immediately We will ensure cancellation of the lost cards and will contact your card issuers accordingly We will also help with the receipt of the replacement passport and re-issuing of tickets so that you can come back homeYou should promptly call on our 24/7 helpline number (1800-419-4000) or call 6000-4000 (city STD code to be prefixed) and let us know whether you require help with the payment for your hotel We will coordinate with the hotel and directly clear the expensesIn case you have to make a claim you can get assistance by calling our 24/7 helpline number You will get a claim form which has to be filled up and returned with these documents –We should receive all claims within a period of 30 days from the date when the card loss is reported You should send all necessary documents and original receipts for expensesThe membership can be cancelled at any time You can call the 24-hour helpline for assistance in this regard or write in to us In case you make the cancellation within 30 days of the set-up date for membership you can get a full refund of your initial payment However this is possible in case you have not made any claims till then To raise a claim please call on 1800-419-4000 within 24 hours of loss of wallet due to any of the reasons covered under the plan You may also write an email to feedback@cppindiacom for any claim related queries \xa0With a Wallet Care Plan from Bajaj Finserv you can get adequate coverage against debit card/ credit card fraud Read more Secure your financial data with Wallet Care plan offered by Bajaj Finserv under the Pocket Insurance & Subscriptions category Read more Bajaj Finserv offers Wallet Care which will help customers block their credit cards and debit cards with a single phone call without any hassles Read more A credit card is a convenient financial tool but it is also vulnerable to fraud Hence having a robust credit card protection plan is imperative This can also be useful in case your wallet is lost or stolen Read more
604,Price Protection Cover,/price-protection-insurance-cover, Want to ensure you don’t overpay for an item you purchase? Cover yourself against financial loss in such a situation with the Price Protection cover from Bajaj Finserv Easy online application and a hassle-free claim process make the Price Protection insurance cover ideal for when you want to shop! • Printed lower price The lower price must be on a printed advertisement• Printed advertisement The printed advertisement must be published within 30 days of your purchase• Contact us about your claim You must contact us about your claim within 7 days of the advertisement being printed• Payment on any claim Payment on any claim will not include merchants credit discount and/or manufacturers rebates and shipping and handling fees• Claim payment The claim payment will not be more than the actual amount charged for the itemApplying for a Price Protection cover is hassle-free and quick All you need to do is log on to our website fill out the price protection online application form and make the premium payment That’s all!You can lodge a claim against your existing purchase protection insurance policy by contacting us through one of the following ways • E-mail generalclaims@tata-aigcom • Toll free number 1800119966 Disclaimer *Conditions apply This product is offered under the Group Insurance scheme wherein Bajaj Finance Limited is the Master policyholder The insurance coverage is provided by our partner Insurance Company Bajaj Finance Limited does not underwrite the risk IRDAI Corporate Agency Registration Number CA0101 The above mentioned benefits and premium amount are subject to various factors such as age of insured lifestyle habits health etc (if applicable) BFL does NOT hold any responsibility for the issuance quality serviceability maintenance and any claims post sale This product provides insurance coverage Purchase of this product is purely voluntary in nature BFL does not compel any of its customers to mandatorily purchase any third party products” All you need to know about personal loan from Bajaj Finserv
605,Purse Care,/purse-care-insurance-policy,\xa0 Your purse contains a lot of valuables like credit cards debit cards PAN card etc that can be misused in case of loss or theft of your purse This could compromise your financial security and hence it is important to safeguard your purse With Purse Care from CPP you can protect your debit/credit cards from loss damage or fraud This one-of-its-kind purse protection plan also gives you the benefit of emergency travel assistance along with complimentary fraud protection Additionally you can avail the benefit of F-Secure Internet Security with this handbag protection cover \xa0 You can buy Purse Care online in three easy steps Log in to our website fill in the online application form for Purse Care and pay the Membership Fees via any of the online payment modesCall our toll-free number 1800-419-4000 within 24 hours of losing your debit/credit/PAN card You need to provide evidence to seek emergency assistance You can also write to us at feedback@cppindiacom Disclaimer Bajaj Finance Ltd (BFL) is merely a distributor of above Products owned by CPP Assistance Services Private Ltd(CPP) Issuance of these products is at sole discretion of CPP This product shall be governed by CPP product T&C’s and BFL does NOT hold any responsibility for the issuance quality serviceability maintenance and any claims post sale This is not an insurance product and CPP Assistance Services Private Ltd is not an insurance company Purchase of this product is purely voluntary in nature BFL does not compel any of its customers to mandatorily purchase any third party products” 
606,Fraudulent Charges Cover,/fraudulent-charges-insurance-cover, As innovations in payment methodologies continue to rise there has also been a steady increase in the number of mobile and internet transactions However this has also increased incidents of glitches in payment processing hacking and data breachesYou can protect yourself from unauthorised charges made on your credit or debit cards and cover yourself against any unauthorized charges made on your payment card with the Fraudulent Charges Cover from Bajaj Finserv \xa0\xa0 \xa0 Here’s a lowdown on expenses or losses that are not covered under Fraudulent Charges Cover Here’s a look at the terms and conditions for coverage of Fraudulent Charges Cover by Bajaj Finserv in case your payment card was lost \xa0In the event of a covered loss you shall • Contact us Please contact our 24-hour Toll Free Call Center on 1800-11-9966* 1800-266-7780 (*Toll free from MTNL/ BSNL lines only) or 1800-22-9966 (only for senior citizen policy holders) Please intimate the Call Center as soon as a claim occurs so we can provide you with prompt and effective assistance You may also register the claim by sending below details on generalclaims@tata-aigcom or sending an SMS writing ‘Claims’ to 5616181 • Police report File a police report within 24 hours of discovering unauthorized charges or ATM withdrawals • Report loss or theft To the extent your payment card was not lost or the object of theft report the unauthorized charges or ATM withdrawal(s) to the payment card issuer(s) bank account issuer(s) or credit account issuer(s) and to us within 24 hours of your discovery of a loss; • Documentation Complete sign and return the claim form to us with all the following documents within 3 days of making the original claim \xa0\xa0\xa0\xa0\xa0I Copy of Duly filled claim form \xa0\xa0\xa0\xa0\xa0II Charge slips for fraudulent Transactions \xa0\xa0\xa0\xa0\xa0III Copy of Police Intimation \xa0\xa0\xa0\xa0\xa0IV Statement from card issuer regarding loss notification within stipulated time \xa0\xa0\xa0\xa0\xa0V Recent 3 months Card statement \xa0\xa0\xa0\xa0\xa0VI Copy of Dispute letter given by Customer to Bank Verified by bank \xa0\xa0\xa0\xa0\xa0VII Copy of Incident report by bank \xa0\xa0\xa0\xa0\xa0VIII Complete passport copy if fraud happened in an international location \xa0 The claim form and accompanying documents with the exception of Merchant charge slip must be returned to us within 3days of making original claim This is an indicative list and other documents may be required at the time of claim settlement SETTLEMENT \xa0\xa0\xa0\xa0\xa01 Post submission of all required documents and survey/Investigators report the claims department processes the claim within 7 working days \xa0\xa0\xa0\xa0\xa02 The payment can be remitted to the insured using one of the following ways a Electronic fund transfer Following are the list of documents required for EFT settlement \xa0\xa0\xa0\xa0\xa0i Copy of cancelled cheque \xa0\xa0\xa0\xa0\xa0ii EFT Mandate form b System Cheque \xa0\xa0\xa0\xa0\xa0• Cooperate with us in investigating evaluating and settling a claim Rest all terms conditions and exclusions of the policy remains unaltered Here’s a look at the terms and conditions for coverage of Fraudulent Charges Cover by Bajaj Finserv in case your payment card is still in your possession \xa0\xa0\xa0\xa0\xa0• You must comply with all terms and conditions by which your payment card(s) is/are issued \xa0\xa0\xa0\xa0\xa0• We will only pay for unauthorized charges for which you are responsible under the terms and conditions of your \xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0payment card(s) \xa0\xa0\xa0\xa0\xa0• You must submit evidence to us that unauthorized charges were made from your bank account or credit accountTo apply for the Fraudulent Charges Cover just fill in the online application form and pay the premium using your preferred online payment mode Here is the step-by-step process to do the same \xa0 For any doubts or concerns related to the plan feel free to reach out to us by writing an email to\xa0pocketservices@bajajfinservin Disclaimer *Conditions apply This product is offered under the Group Insurance scheme wherein Bajaj Finance Limited is the Master policyholder The insurance coverage is provided by our partner Insurance Company Bajaj Finance Limited does not underwrite the risk IRDAI Corporate Agency Registration Number CA0101 The above mentioned benefits and premium amount are subject to various factors such as age of insured lifestyle habits health etc (if applicable) BFL does NOT hold any responsibility for the issuance quality serviceability maintenance and any claims post sale This product provides insurance coverage Purchase of this product is purely voluntary in nature BFL does not compel any of its customers to mandatorily purchase any third party products”
607,View More,/pocket-insurance-plan?title=Assistance,
608,COVID Protection Cover,/covid-19-protection-cover, With new cases being reported each day the spread of Coronavirus has become a global concern If you are worried about the cost of COVID-19 treatment and the expenses incurred during the quarantine period the COVID-19 Insurance can be of significant help Read on to know the coverage and exclusions of the planThe COVID-19 Insurance offers coverage up to Rs 2 lakh at premiums starting at just Rs 952 You may choose from the below affordable plans \xa0Applying for the COVID-19 Protection Cover requires you to fill in the online application form and pay the premium using your preferred mode of payment Here is the step-by-step process to complete the purchaseYou can raise a claim by reaching out to the insurer via one of the following ways In case you have any queries related to coverage exclusions or claims please write to us at pocketservices@bajajfinservinDisclaimer *Conditions apply This product is offered under the Group Insurance scheme wherein Bajaj Finance Limited is the Master policyholder The insurance coverage is provided by our partner Insurance Company Bajaj Finance Limited does not underwrite the risk IRDAI Corporate Agency Registration Number CA0101 The above mentioned benefits and premium amount are subject to various factors such as age of insured lifestyle habits health etc (if applicable) BFL does NOT hold any responsibility for the issuance quality serviceability maintenance and any claims post sale This product provides insurance coverage Purchase of this product is purely voluntary in nature BFL does not compel any of its customers to mandatorily purchase any third party products”
609,Adventure Cover,/adventure-sports-insurance-cover,Every holiday whether an adventure sports holiday or otherwise calls for an adventure cover to ensure that you have fun without thinking twice Before you set forth on that exciting holiday protect yourself against unforeseen circumstances with an Adventure Cover from Bajaj Finserv It is quick and easy to apply for so you can get coverage from any financial losses that you may incurApplying for Adventure Cover Cover is simple Simply log on to our website fill out the online application form make the premium payment and you’re done! You can lodge a claim by contacting us through one of the following ways Disclaimer *Conditions apply This product is offered under the Group Insurance scheme wherein Bajaj Finance Limited is the Master policyholder The insurance coverage is provided by our partner Insurance Company Bajaj Finance Limited does not underwrite the risk IRDAI Corporate Agency Registration Number CA0101 The above mentioned benefits and premium amount are subject to various factors such as age of insured lifestyle habits health etc (if applicable) BFL does NOT hold any responsibility for the issuance quality serviceability maintenance and any claims post sale This product provides insurance coverage Purchase of this product is purely voluntary in nature BFL does not compel any of its customers to mandatorily purchase any third party products” All you need to know about personal loan from Bajaj Finserv
610,Dengue Cover,/dengue-insurance-policy,Vector-borne diseases like Dengue and Malaria spread through mosquitoes and affect many people across India every year Delayed treatment can be dangerous so it’s important to get an early diagnosis and appropriate medical attention However hospitalization charges and medication can be very expensiveBajaj Finserv brings you Dengue Cover which helps you protect your loved ones from the risk of vector-borne diseasesYou can apply for the Dengue Cover online in 3 easy steps Just log on to our website type out the information required in the online application form and then proceed to make the premium payment You can lodge a claim by contacting us through one of the following waysFor any queries or concerns related to the plan please reach out to us by writing an email to\xa0pocketservices@bajajfinservin Disclaimer *Conditions apply This product is offered under the Group Insurance scheme wherein Bajaj Finance Limited is the Master policyholder The insurance coverage is provided by our partner Insurance Company Bajaj Finance Limited does not underwrite the risk IRDAI Corporate Agency Registration Number CA0101 The above mentioned benefits and premium amount are subject to various factors such as age of insured lifestyle habits health etc (if applicable) BFL does NOT hold any responsibility for the issuance quality serviceability maintenance and any claims post sale This product provides insurance coverage Purchase of this product is purely voluntary in nature BFL does not compel any of its customers to mandatorily purchase any third party products”
611,View More,/pocket-insurance-plan?title=Health,
612,Trek Cover,/trekking-travel-insurance-policy, If you’re thinking of embarking on your next trekking adventure it’s important to plan in advance and be prepared in case you face any emergency situation This could include financial setbacks due to losing your wallet getting stranded or meeting with an accident during the trekWith Trek Cover from CPP you can block your credit cards with a single call avail travel and hotel assistance get a temporary smartphone to contact your family in an emergency complimentary personal accident cover and more \xa0The Trek Cover from CPP also includes a one-year Travel Safe membership which has the following benefits•\xa0\xa0\xa0\xa0You can block all your debit and credit cards in case they have been stolen or lost in order to prevent their misuse•\xa0\xa0\xa0\xa0If you are in India at the time of loss you can receive financial assistance up to Rs 100000 to cover your hotel bills and air travel back home This advance is an interest-free advance for the maximum duration of 28 days You have to repay the amount within 28 days•\xa0\xa0\xa0\xa0You can get a replacement smartphone to enable you to be in touch with your family members The smartphone has to be returned after your trip is over or within 7 days This feature is valid only in specific cities•\xa0 \xa0\xa0You can also get an immediate cash advance of Rs 5000 to help you with basic living expenses and getting back home•\xa0\xa0\xa0\xa0The Travel Safe membership also covers the cost of replacing your PAN card if you lose it along with other cards and documents•\xa0\xa0\xa0\xa0You can stay protected with a Complimentary protection Cover against personal accidents which also includes adventure sports upto Rs 150000 for a maximum duration of upto 10 days while on your trek \xa0•\xa0\xa0\xa0\xa0If you lose your valuables while being intoxicated coverage will not be provided All you need to know about personal loan from Bajaj Finserv
